dataset,rep,term,beta_ij,vertex_gap_fitted,predicts_interior_optimum
santander,9,knn*xgb,0.23327011996030045,0.12342186193921156,True
santander,9,rf*xgb,0.05586492430823409,0.03172523000320482,True
santander,10,lr*gnb,0.018255789795828925,0.027942109260853387,False
santander,10,lr*knn,0.19657710434928194,0.10105977816742184,True
santander,10,lr*rf,0.092029935602702,0.008651639355423568,True
santander,10,lr*xgb,0.04279039736151402,0.021358932772569617,True
santander,10,gnb*knn,0.24146741869619381,0.12900188742827523,True
santander,10,gnb*rf,0.07583007709627343,0.036593748616276955,True
santander,10,gnb*xgb,0.021417364504209502,0.006583176488283771,True
santander,10,knn*rf,0.1979624233569932,0.09240813881199827,True
santander,10,knn*xgb,0.22917468747630654,0.12241871093999146,True
santander,10,rf*xgb,0.05592449937147492,0.030010572127993185,True
santander,11,lr*gnb,0.01808176512860754,0.02784417360538316,False
santander,11,lr*knn,0.1961047130809939,0.1013532836405997,True
santander,11,lr*rf,0.09430918941209065,0.010117188805312649,True
santander,11,lr*xgb,0.044499600669136274,0.021770465257550664,True
santander,11,gnb*knn,0.24155376953061403,0.12919745724598286,True
santander,11,gnb*rf,0.07667324270233311,0.03796136241069581,True
santander,11,gnb*xgb,0.021889943433010983,0.006073708347832496,True
santander,11,knn*rf,0.19770216470977497,0.09123609483528705,True
santander,11,knn*xgb,0.2304731279784553,0.12312374889815036,True
santander,11,rf*xgb,0.056147078019606056,0.03188765406286331,True
santander,12,lr*gnb,0.018077868751209314,0.02788166559188221,False
santander,12,lr*knn,0.19849282879545246,0.10231021366213633,True
santander,12,lr*rf,0.09171984233223052,0.008373186482318329,True
santander,12,lr*xgb,0.04283267024594717,0.022229233321027997,True
santander,12,gnb*knn,0.24351339601469935,0.13019187925401854,True
santander,12,gnb*rf,0.07408951733403968,0.03625485207420054,True
santander,12,gnb*xgb,0.020849096475381024,0.005652432270854213,True
santander,12,knn*rf,0.2010419437839086,0.093937027179818,True
santander,12,knn*xgb,0.23262830716493504,0.12453944698316433,True
santander,12,rf*xgb,0.05481209658763797,0.030602419803346326,True
santander,13,lr*gnb,0.018233477040080104,0.028314147928996114,False
santander,13,lr*knn,0.19637010533542637,0.10066044403732466,True
santander,13,lr*rf,0.09438758609574682,0.00851845878944446,True
santander,13,lr*xgb,0.043955420068853446,0.022666092681057903,True
santander,13,gnb*knn,0.2420427048929632,0.12897459196632077,True
santander,13,gnb*rf,0.07682005975846895,0.036832606718440575,True
santander,13,gnb*xgb,0.021046661444063752,0.005648055247938211,True
santander,13,knn*rf,0.19875470436239406,0.0921419852478802,True
santander,13,knn*xgb,0.23117598326902616,0.12332653671838256,True
santander,13,rf*xgb,0.05661733806602598,0.031184551470502364,True
santander,14,lr*gnb,0.017403142351304746,0.027933413585168765,False
santander,14,lr*knn,0.1970380732290271,0.10172760934297165,True
santander,14,lr*rf,0.09241893015668945,0.009075048525382212,True
santander,14,lr*xgb,0.042579194682984545,0.02220454373511005,True
santander,14,gnb*knn,0.24183478353637877,0.1296610229281404,True
santander,14,gnb*rf,0.07658966899515707,0.03700846211055098,True
santander,14,gnb*xgb,0.020635893849362152,0.005728869850058715,True
santander,14,knn*rf,0.1978647928405377,0.09265256081758944,True
santander,14,knn*xgb,0.23119009006381736,0.1239321530780817,True
santander,14,rf*xgb,0.057242032550903765,0.03127959226049226,True
santander,15,lr*gnb,0.01830518466038089,0.028296214731932223,False
santander,15,lr*knn,0.20017006441871998,0.10404636546559687,True
santander,15,lr*rf,0.09144526952921661,0.008761970265013685,True
santander,15,lr*xgb,0.04226416522538856,0.022183594600316936,True
santander,15,gnb*knn,0.24772219562863773,0.1323425801975291,True
santander,15,gnb*rf,0.07571248767821981,0.03705818499694591,True
