subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
1.0,0.05,1.0,0.3,3.0,0.05,50,0.93125,0.9442945216708983,0.8779310344827588,0.9659192825112107,0.9727276944487396,0.2104845255613327,323.0,0.029239433561451735
0.05,1.0,1.0,0.3,3.0,0.05,50,0.9277173913043478,0.9281257604230468,0.8855172413793104,0.9551569506726457,0.9727918663986393,0.19973909258842468,247.0,0.03228549158666283
1.0,1.0,1.0,0.3,3.0,0.05,700,0.9527173913043478,0.9451448582247466,0.9344827586206896,0.96457399103139,0.9882356579557754,0.14240932166576387,2268.0,0.2736841750098392
0.05,0.05,0.05,0.01,18.0,0.05,50,0.6097826086956522,0.6,0.009655172413793104,1.0,0.9386809958249576,0.6166470766067504,163.6,0.02730406660120934
1.0,0.05,0.05,0.01,18.0,0.05,700,0.9146739130434783,0.9636418753729435,0.8144827586206895,0.9798206278026905,0.9751314365238904,0.2930634915828705,9320.4,0.6729746413882822
0.05,1.0,0.05,0.01,18.0,0.05,700,0.9285326086956521,0.9385499741429977,0.876551724137931,0.9623318385650224,0.9739345910004639,0.22540512979030608,3648.2,0.5062959583709017
1.0,1.0,0.05,0.01,18.0,0.05,50,0.8929347826086957,0.9774779693186264,0.7455172413793103,0.9887892376681613,0.9790822638008351,0.4682671308517456,2359.2,0.11911630860995501
0.05,0.05,1.0,0.01,18.0,0.05,700,0.9059782608695652,0.9523021165800591,0.8020689655172413,0.973542600896861,0.9686686253285913,0.3098999857902527,3454.8,0.4552119584055617
1.0,0.05,1.0,0.01,18.0,0.05,50,0.6616847826086956,1.0,0.1413793103448276,1.0,0.9600463893613732,0.5856794238090515,2210.2,0.10421339164022356
0.05,1.0,1.0,0.01,18.0,0.05,50,0.8755434782608695,0.9779734983239633,0.7,0.9896860986547086,0.956154321942168,0.4847694575786591,448.0,0.05438405799213797
1.0,1.0,1.0,0.01,18.0,0.05,700,0.9527173913043478,0.9469774110690421,0.9324137931034482,0.9659192825112107,0.9881552497293953,0.12741504460573197,41264.4,2.1443018997786565
0.05,0.05,0.05,0.3,18.0,0.05,700,0.9307065217391305,0.9255213847909133,0.8965517241379309,0.952914798206278,0.9753842585433741,0.1928259700536728,1213.8,0.22687080020550637
1.0,0.05,0.05,0.3,18.0,0.05,50,0.9230978260869567,0.9408928043494356,0.8593103448275862,0.9645739910313902,0.9733825576001239,0.22351234555244445,511.4,0.04874845000449568
0.05,1.0,0.05,0.3,18.0,0.05,50,0.9247282608695653,0.9240236728955287,0.8827586206896552,0.952017937219731,0.9697510437606308,0.21060645580291748,200.8,0.0323200996266678
1.0,1.0,0.05,0.3,18.0,0.05,700,0.9557065217391305,0.9492039547638266,0.9379310344827585,0.9672645739910314,0.988503169939694,0.13458503782749176,3218.8,0.3711266918107867
0.05,0.05,1.0,0.3,18.0,0.05,50,0.9035326086956521,0.9157823518738569,0.8324137931034483,0.9497757847533632,0.958528684088449,0.26060869693756106,221.6,0.033569291792809965
1.0,0.05,1.0,0.3,18.0,0.05,700,0.9456521739130436,0.9392860243100495,0.9220689655172414,0.9609865470852018,0.9840088139786609,0.1659594625234604,5294.6,0.4680258836131543
0.05,1.0,1.0,0.3,18.0,0.05,700,0.9192934782608695,0.8961070681563182,0.9,0.9318385650224215,0.9649559301066954,0.2896016865968704,2493.4,0.4013680081581697
1.0,1.0,1.0,0.3,18.0,0.05,50,0.9524456521739131,0.9451993638599356,0.9337931034482759,0.9645739910313902,0.9878398020720583,0.13860805630683898,1925.8,0.13039468300994486
0.05,0.05,0.05,0.01,3.0,5.0,50,0.6059782608695652,0.0,0.0,1.0,0.9540126797587754,0.6242348551750183,93.4,0.020373983401805164
1.0,0.05,0.05,0.01,3.0,5.0,700,0.9092391304347827,0.9555583490943607,0.8075862068965517,0.9753363228699552,0.9712223596721818,0.3071770131587982,2171.6,0.3016616000328213
